35,10,544,527
65,8,967,494
175,6,603,484
178,10,107,494
249,10,186,506
285,8,1027,531
288,11,561,500
334,10,168,499
338,12,731,525
400,12,977,503
446,13,596,532
487,14,595,517
530,17,592,535
563,13,462,516
591,12,987,543
605,12,60,540
638,9,741,450
683,12,625,540
688,11,156,524
740,11,689,530
846,16,641,536
871,14,1071,509
937,4,1106,503
962,18,675,511
1028,10,182,493
1083,14,793,486
1095,11,286,456
1127,6,638,504
1205,12,241,518
1293,14,31,503
1294,12,846,500
1306,12,398,511
1339,15,793,456
1355,16,552,521
1419,13,1028,488
1494,12,794,520
1548,14,829,503
1596,17,281,501
1628,17,853,488
1647,15,624,487
1670,17,241,489
1722,18,787,454
1789,17,812,498
1813,8,539,500
1841,17,821,479
1852,9,360,498
1908,8,246,336
1935,1,179,383
1939,17,768,463
1999,7,255,477
2001,3,688,476
2025,16,836,498
2035,11,438,504
2082,12,272,466
2102,11,779,476
2131,12,393,500
2190,10,278,508
2227,8,496,463
2357,7,322,469
2456,9,805,507
2480,8,280,472
2622,5,833,481
2741,6,311,503
2936,6,309,457
3176,1,728,381
3262,4,336,464
3305,1,765,380
3547,5,227,525
3672,5,740,504
3727,5,283,502
3791,6,248,501
3911,6,313,477
3967,4,333,504
4018,4,265,503
4062,1,31,501
4404,6,837,512
4409,5,294,494
4495,6,212,477
4505,7,752,473
4512,5,1143,503
4540,5,309,461
4640,5,240,505
4755,4,777,479
4862,3,251,467
4864,3,1109,488
5095,9,717,475
5170,9,796,522
5236,8,793,513
5301,8,861,497
5339,9,797,486
5417,8,843,460
5446,8,1137,500
5459,7,279,455
5482,7,719,474
5586,9,289,462
5640,8,717,484
5740,9,695,488
5788,6,248,507
5832,8,479,506
5913,11,300,491
5958,10,269,480
5975,4,781,422
5976,1,779,395
6018,9,269,504
6057,8,751,506
6102,8,280,477
6110,9,740,473
6179,8,792,479
6338,11,320,506
6354,8,678,504
6421,11,347,504
6460,15,741,501
6522,17,69,508
6619,16,213,462
6645,15,354,468
6650,15,785,509
6685,12,779,486
6736,14,825,497
6771,15,595,502
6843,14,353,464
6855,11,792,450
6929,11,743,487
6965,5,239,446
6969,10,778,491
7001,7,322,501
7075,3,567,475
7103,4,313,470
7146,4,278,509
7317,8,1132,493
7388,7,691,511
7433,6,213,476
7508,7,750,484
7542,5,1041,501
7633,6,326,481
7662,3,867,479
7678,7,347,507
7725,6,796,478
7857,6,752,455
7930,3,282,482
7962,5,753,507
8009,2,224,402
8010,1,216,425
8019,4,849,496
8155,6,1113,499
8187,1,112,338
8286,4,732,462
